Course	Room	Teacher	Time	Students
014570	PK180	0409956	75	3631215 3930841 3789175 3907037 3929704 3839910 3930674 3910185 3795919 3813457 3851345 3816108 3820858 3901790 3903861 3914344 3915043 3930042 3930544 3930831 3790857 3833378 3845742 3902905 3910848 3913671 3914502 3834985 3902439 3858042 3722764 3799593 3913164 3915088 3652353 3816483 3930025 3648550 3930070 3930608 3823094 3911054 3915054 3823391 3902404 3788616 3854723 3513947 3606418 3768515 3821097 3843290 3858715 3860357 3902911 3906818 3913863 3914696 3912597 3930865 3915203 3517604 3797694 4086403 4086471 
015666	TH104	3900232	280	3430527 3795919 3458065 3576753 3901254 3699593 3911054 3816860 3852806 3910343 3792443 
015666	TH104	3900232	281	3430527 3795919 3458065 3576753 3901254 3699593 3911054 3816860 3852806 3910343 3792443 
013613	DAL300	0492580	24	3695510 3498974 3789055 3821588 3821571 3797429 3821044 3817637 3820405 3613455 3821008 3649880 3690778 3819598 3821359 3578842 3789806 3820971 4093446 3668880 3797597 3797604 3910466 3910468 3910491 3910516 3910543 3910580 3910599 3910624 3910652 3910670 3910695 3910718 3910735 
013613	DAL300	0492580	22	3695510 3498974 3789055 3821588 3821571 3797429 3821044 3817637 3820405 3613455 3821008 3649880 3690778 3819598 3821359 3578842 3789806 3820971 4093446 3668880 3797597 3797604 3910466 3910468 3910491 3910516 3910543 3910580 3910599 3910624 3910652 3910670 3910695 3910718 3910735 
013613	DAL300	0492580	75	3695510 3498974 3789055 3821588 3821571 3797429 3821044 3817637 3820405 3613455 3821008 3649880 3690778 3819598 3821359 3578842 3789806 3820971 4093446 3668880 3797597 3797604 3910466 3910468 3910491 3910516 3910543 3910580 3910599 3910624 3910652 3910670 3910695 3910718 3910735 
005739	CARP15	3392421	280	0468326 3817048 3481664 3577682 3650256 3599497 3668766 3669004 3870878 3910646 
005739	CARP15	3392421	281	0468326 3817048 3481664 3577682 3650256 3599497 3668766 3669004 3870878 3910646 
015674	DAL25	1051497	278	3711406 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 
015674	DAL25	1051497	279	3711406 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 
015675	TAYC	0431946	26	3651243 3711406 3483546 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 3797679 
015675	TAYC	0431946	24	3651243 3711406 3483546 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 3797679 
015676	TAYF	0851717	243	3711406 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 
015676	TAYF	0851717	244	3711406 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 
015676	TAYF	0851717	245	3711406 3930253 3914498 3505185 3510878 3580139 3606293 3655749 3668623 3694433 3851907 3929651 3720506 
007128	DAL212A	0162976	280	3581207 3460718 3560199 3796230 3518231 3510878 3483954 3570123 3581192 3487623 3690445 3561402 3577795 3559645 3581995 3581038 3516442 3559624 3568950 3581249 3542887 3692609 3463919 
007128	DAL212A	0162976	281	3581207 3460718 3560199 3796230 3518231 3510878 3483954 3570123 3581192 3487623 3690445 3561402 3577795 3559645 3581995 3581038 3516442 3559624 3568950 3581249 3542887 3692609 3463919 
004048	TAYC	0031578	245	3460718 3581786 3585962 3699613 3768034 3905715 3559657 3558800 3705083 3561402 3692187 3598090 3465332 3578963 3584557 3692849 3561098 3599497 3668816 3668882 
004048	TAYC	0031578	246	3460718 3581786 3585962 3699613 3768034 3905715 3559657 3558800 3705083 3561402 3692187 3598090 3465332 3578963 3584557 3692849 3561098 3599497 3668816 3668882 
002368	TAYE	1051497	243	3915044 3819380 3498974 3821440 3671929 3708638 3758045 3905885 3820963 3464954 3902667 3817419 3915332 3930683 3914724 3914814 3768025 3818805 3822122 3823278 3903909 3904101 3928911 3929241 3929800 3930137 3792406 3668831 3668923 3668972 3689944 3822886 3910466 3910503 3910563 3910690 3910721 3910741 4086260 4086320 4086333 4086433 4086488 
002368	TAYE	1051497	26	3915044 3819380 3498974 3821440 3671929 3708638 3758045 3905885 3820963 3464954 3902667 3817419 3915332 3930683 3914724 3914814 3768025 3818805 3822122 3823278 3903909 3904101 3928911 3929241 3929800 3930137 3792406 3668831 3668923 3668972 3689944 3822886 3910466 3910503 3910563 3910690 3910721 3910741 4086260 4086320 4086333 4086433 4086488 
015106	DAL6	3208421	278	3498974 3533093 3651412 3560193 3540190 3479534 3653119 3690346 3689919 3692380 3820010 3693280 3694481 3931474 3668849 3668895 3797645 3797692 3797819 3797833 
015106	DAL6	3208421	279	3498974 3533093 3651412 3560193 3540190 3479534 3653119 3690346 3689919 3692380 3820010 3693280 3694481 3931474 3668849 3668895 3797645 3797692 3797819 3797833 
015406	CARP17	0024092	278	3506324 3694101 3652473 3462019 3549052 3547282 3474374 3690204 3668800 3668810 3797777 
015406	CARP17	0024092	279	3506324 3694101 3652473 3462019 3549052 3547282 3474374 3690204 3668800 3668810 3797777 
