Course	Room	Teacher	Time	Students
001837	PK126	3452118	116	3105802 
001837	PK126	3452118	117	3105802 
001837	PK126	3452118	200	3105802 
002153	PK182	3415849	114	3105802 3481664 3489089 3497993 3539996 3560256 3579291 3580211 3611135 3629467 3651605 3652353 3692796 3692862 3693789 3694754 3695368 3722764 3797331 3818029 3818274 3821069 3823130 3559464 3630501 3650277 3652276 3687862 3818773 3821440 3558796 3609553 3715444 3721962 3816483 3651487 3671851 3695543 3710991 3820588 3716638 3789175 3668196 3816722 3581918 3650239 3821197 3699567 3768197 3680751 3689500 3722926 3821097 3816554 3816104 3693224 3820732 3576212 
002153	PK182	3415849	9	3105802 3481664 3489089 3497993 3539996 3560256 3579291 3580211 3611135 3629467 3651605 3652353 3692796 3692862 3693789 3694754 3695368 3722764 3797331 3818029 3818274 3821069 3823130 3559464 3630501 3650277 3652276 3687862 3818773 3821440 3558796 3609553 3715444 3721962 3816483 3651487 3671851 3695543 3710991 3820588 3716638 3789175 3668196 3816722 3581918 3650239 3821197 3699567 3768197 3680751 3689500 3722926 3821097 3816554 3816104 3693224 3820732 3576212 
002153	PK182	3415849	115	3105802 3481664 3489089 3497993 3539996 3560256 3579291 3580211 3611135 3629467 3651605 3652353 3692796 3692862 3693789 3694754 3695368 3722764 3797331 3818029 3818274 3821069 3823130 3559464 3630501 3650277 3652276 3687862 3818773 3821440 3558796 3609553 3715444 3721962 3816483 3651487 3671851 3695543 3710991 3820588 3716638 3789175 3668196 3816722 3581918 3650239 3821197 3699567 3768197 3680751 3689500 3722926 3821097 3816554 3816104 3693224 3820732 3576212 
006847	PK243	3646602	2	3105802 3430298 3461197 3475298 3480714 3481805 3493748 3496673 3516634 3579864 3591591 3693813 3483298 3574137 3631215 3496439 3521461 3529298 3650578 3575483 3470846 3481943 3591844 3650956 3691241 3638301 3651017 3482323 3482592 3576311 3576403 3576406 3576410 3576421 3576464 3576496 3576536 3576555 3668790 3668829 3668846 3668855 3668912 3669050 3797616 
006847	PK243	3646602	63	3105802 3430298 3461197 3475298 3480714 3481805 3493748 3496673 3516634 3579864 3591591 3693813 3483298 3574137 3631215 3496439 3521461 3529298 3650578 3575483 3470846 3481943 3591844 3650956 3691241 3638301 3651017 3482323 3482592 3576311 3576403 3576406 3576410 3576421 3576464 3576496 3576536 3576555 3668790 3668829 3668846 3668855 3668912 3669050 3797616 
006847	PK243	3646602	253	3105802 3430298 3461197 3475298 3480714 3481805 3493748 3496673 3516634 3579864 3591591 3693813 3483298 3574137 3631215 3496439 3521461 3529298 3650578 3575483 3470846 3481943 3591844 3650956 3691241 3638301 3651017 3482323 3482592 3576311 3576403 3576406 3576410 3576421 3576464 3576496 3576536 3576555 3668790 3668829 3668846 3668855 3668912 3669050 3797616 
012832	CARP15	1168592	76	3397840 3479085 3469520 3479355 3487093 3485054 3485361 3486141 3546417 3559970 3580095 3465588 3559804 3446353 3576429 3668923 
012832	CARP15	1168592	204	3397840 3479085 3469520 3479355 3487093 3485054 3485361 3486141 3546417 3559970 3580095 3465588 3559804 3446353 3576429 3668923 
015106	TH129	3896857	1	3397840 3668623 3464398 3576231 3433962 3480166 3486838 3576417 3576426 3576521 3668923 
015106	TH129	3896857	77	3397840 3668623 3464398 3576231 3433962 3480166 3486838 3576417 3576426 3576521 3668923 
001851	PK259	0409956	114	3426943 3461197 3474620 3476797 3558739 3576260 3581085 3581920 3694432 3485169 3487055 3486379 3529298 3470846 3467093 3481862 3576386 3576512 3599497 
001851	PK259	0409956	9	3426943 3461197 3474620 3476797 3558739 3576260 3581085 3581920 3694432 3485169 3487055 3486379 3529298 3470846 3467093 3481862 3576386 3576512 3599497 
001851	PK259	0409956	115	3426943 3461197 3474620 3476797 3558739 3576260 3581085 3581920 3694432 3485169 3487055 3486379 3529298 3470846 3467093 3481862 3576386 3576512 3599497 
008770	PK20	0428728	1	3426943 3461197 3516442 3651365 3689893 3694481 3694813 3796007 3691983 3693276 3480734 3690800 3796723 3816483 3631215 3695542 3689919 3666207 3692756 3692269 3663306 3694289 3695022 3768356 3818024 3816181 3694828 3768686 3474395 3910507 3910592 
008770	PK20	0428728	76	3426943 3461197 3516442 3651365 3689893 3694481 3694813 3796007 3691983 3693276 3480734 3690800 3796723 3816483 3631215 3695542 3689919 3666207 3692756 3692269 3663306 3694289 3695022 3768356 3818024 3816181 3694828 3768686 3474395 3910507 3910592 
014984	PK227	3577231	116	3426943 3461197 3475573 3476797 3575928 3581085 3487055 3591211 3481862 3576415 3576522 3797828 
014984	PK227	3577231	117	3426943 3461197 3475573 3476797 3575928 3581085 3487055 3591211 3481862 3576415 3576522 3797828 
014984	PK227	3577231	200	3426943 3461197 3475573 3476797 3575928 3581085 3487055 3591211 3481862 3576415 3576522 3797828 
009303	CARP25	0029475	201	3432357 3445680 3465050 3467427 3561772 3591591 3479355 3487055 3433686 3579579 3478309 3581827 3467199 3486782 3457873 3476082 3506165 3575581 3576417 3576465 3576529 
009303	CARP25	0029475	202	3432357 3445680 3465050 3467427 3561772 3591591 3479355 3487055 3433686 3579579 3478309 3581827 3467199 3486782 3457873 3476082 3506165 3575581 3576417 3576465 3576529 
013182	CARP25	1020104	114	3432357 3474374 3483511 3538688 3544254 3774943 3789070 3796732 3817668 3819367 3485628 3667503 3771747 3694810 3789464 3486838 3557478 3768972 3576548 3576563 
013182	CARP25	1020104	9	3432357 3474374 3483511 3538688 3544254 3774943 3789070 3796732 3817668 3819367 3485628 3667503 3771747 3694810 3789464 3486838 3557478 3768972 3576548 3576563 
015113	DAL119	0820103	116	3443731 3456653 3484750 3558739 3577795 3651816 3692766 3487266 3480571 3560234 3464985 3556617 3580159 3467932 3476899 3580912 3484243 3486389 3576382 3576391 3576408 3668761 3910754 
015113	DAL119	0820103	117	3443731 3456653 3484750 3558739 3577795 3651816 3692766 3487266 3480571 3560234 3464985 3556617 3580159 3467932 3476899 3580912 3484243 3486389 3576382 3576391 3576408 3668761 3910754 
015113	DAL119	0820103	200	3443731 3456653 3484750 3558739 3577795 3651816 3692766 3487266 3480571 3560234 3464985 3556617 3580159 3467932 3476899 3580912 3484243 3486389 3576382 3576391 3576408 3668761 3910754 
007374	DAL300	0987494	4	3444536 3480592 3483567 3578861 3579592 3581609 3606350 3608097 3651816 3693084 3694434 3694754 3695285 3704166 3774116 3818746 3531305 3621523 3574137 3667676 3483587 3821008 3595163 3620017 3651573 3789136 3693219 3480867 3560487 3577806 3612623 3642204 3692915 3692187 3440687 3580912 3651033 3487621 3581247 3576460 3578673 3797605 3797680 3797823 3910628 3910654 
007374	DAL300	0987494	77	3444536 3480592 3483567 3578861 3579592 3581609 3606350 3608097 3651816 3693084 3694434 3694754 3695285 3704166 3774116 3818746 3531305 3621523 3574137 3667676 3483587 3821008 3595163 3620017 3651573 3789136 3693219 3480867 3560487 3577806 3612623 3642204 3692915 3692187 3440687 3580912 3651033 3487621 3581247 3576460 3578673 3797605 3797680 3797823 3910628 3910654 
007374	DAL300	0987494	76	3444536 3480592 3483567 3578861 3579592 3581609 3606350 3608097 3651816 3693084 3694434 3694754 3695285 3704166 3774116 3818746 3531305 3621523 3574137 3667676 3483587 3821008 3595163 3620017 3651573 3789136 3693219 3480867 3560487 3577806 3612623 3642204 3692915 3692187 3440687 3580912 3651033 3487621 3581247 3576460 3578673 3797605 3797680 3797823 3910628 3910654 
007396	DAL119	0162977	78	3444536 3476927 3483567 3501476 3524963 3579592 3606350 3635008 3651816 3667319 3443522 3579099 3822613 3480939 3544945 3460569 3483587 3485636 3560234 3575309 3690482 3556617 3480867 3481894 3560487 3577806 3642204 3823113 3484324 3576397 3576419 3576449 3576457 3576631 
007396	DAL119	0162977	204	3444536 3476927 3483567 3501476 3524963 3579592 3606350 3635008 3651816 3667319 3443522 3579099 3822613 3480939 3544945 3460569 3483587 3485636 3560234 3575309 3690482 3556617 3480867 3481894 3560487 3577806 3642204 3823113 3484324 3576397 3576419 3576449 3576457 3576631 
007396	DAL119	0162977	253	3444536 3476927 3483567 3501476 3524963 3579592 3606350 3635008 3651816 3667319 3443522 3579099 3822613 3480939 3544945 3460569 3483587 3485636 3560234 3575309 3690482 3556617 3480867 3481894 3560487 3577806 3642204 3823113 3484324 3576397 3576419 3576449 3576457 3576631 
004394	TAYSEM	0138190	114	3445680 3575483 
004394	TAYSEM	0138190	9	3445680 3575483 
004306	PK200	1165566	114	3451724 3466014 3468070 3474140 3480714 3456089 3469520 3477576 3482144 3451557 3576365 3576425 3576444 3576555 
004306	PK200	1165566	9	3451724 3466014 3468070 3474140 3480714 3456089 3469520 3477576 3482144 3451557 3576365 3576425 3576444 3576555 
007087	DAL212A	0031573	115	3451724 3581207 3691361 3694318 3461517 3542887 3668768 3668919 3692372 
007087	DAL212A	0031573	116	3451724 3581207 3691361 3694318 3461517 3542887 3668768 3668919 3692372 
003029	DAL25	3764395	114	3456653 3481562 3577022 3578811 3480571 3580114 3576248 3694426 3461937 3576879 3580397 3576424 3668782 3668867 3668874 3668880 3668881 3668947 3669006 3669038 3797740 
003029	DAL25	3764395	9	3456653 3481562 3577022 3578811 3480571 3580114 3576248 3694426 3461937 3576879 3580397 3576424 3668782 3668867 3668874 3668880 3668881 3668947 3669006 3669038 3797740 
003029	DAL25	3764395	115	3456653 3481562 3577022 3578811 3480571 3580114 3576248 3694426 3461937 3576879 3580397 3576424 3668782 3668867 3668874 3668880 3668881 3668947 3669006 3669038 3797740 
003031	DAL212A	0375562	203	3456653 3433686 3486569 
003031	DAL212A	0375562	3	3456653 3433686 3486569 
003031	DAL212A	0375562	49	3456653 3433686 3486569 
003478	EHI	0431946	201	3456653 3463560 3493748 3508682 3592325 3475941 3460569 3465591 3773692 3477014 3610671 3821097 3574558 3851907 3576331 3668917 
003478	EHI	0431946	202	3456653 3463560 3493748 3508682 3592325 3475941 3460569 3465591 3773692 3477014 3610671 3821097 3574558 3851907 3576331 3668917 
004889	CARP17	0031373	115	3458441 3465036 3478713 3481221 3484272 3484816 3484361 3480382 3468749 1088365 3464848 3482588 3576465 3576569 
004889	CARP17	0031373	116	3458441 3465036 3478713 3481221 3484272 3484816 3484361 3480382 3468749 1088365 3464848 3482588 3576465 3576569 
011313	CARP21	0672202	77	3458441 3465050 3481944 3482989 3486653 3521265 3560687 3581830 3609410 3695201 3695643 3712913 3469520 3484334 3597302 3694741 3619255 3691694 3821180 3540705 3468749 3559612 3820380 3456660 3480069 3818805 3581149 3477580 3474789 3576462 3576499 3576578 3668765 3668801 3668848 3797644 
011313	CARP21	0672202	293	3458441 3465050 3481944 3482989 3486653 3521265 3560687 3581830 3609410 3695201 3695643 3712913 3469520 3484334 3597302 3694741 3619255 3691694 3821180 3540705 3468749 3559612 3820380 3456660 3480069 3818805 3581149 3477580 3474789 3576462 3576499 3576578 3668765 3668801 3668848 3797644 
006043	PK349	0207327	75	3460338 3478356 3478506 3482288 3574873 3575898 3577022 3578811 3581980 3650596 3691575 3692771 3694006 3695373 3464850 3469615 3481643 3486852 3505157 3556970 3577109 3693276 3464327 3578804 3580114 3485288 3628726 3694426 3513947 3448314 3477425 3485727 3645471 3475933 3581952 3822535 3694797 3575916 3578252 3576420 3576530 3668782 3797740 
006043	PK349	0207327	2	3460338 3478356 3478506 3482288 3574873 3575898 3577022 3578811 3581980 3650596 3691575 3692771 3694006 3695373 3464850 3469615 3481643 3486852 3505157 3556970 3577109 3693276 3464327 3578804 3580114 3485288 3628726 3694426 3513947 3448314 3477425 3485727 3645471 3475933 3581952 3822535 3694797 3575916 3578252 3576420 3576530 3668782 3797740 
006043	PK349	0207327	4	3460338 3478356 3478506 3482288 3574873 3575898 3577022 3578811 3581980 3650596 3691575 3692771 3694006 3695373 3464850 3469615 3481643 3486852 3505157 3556970 3577109 3693276 3464327 3578804 3580114 3485288 3628726 3694426 3513947 3448314 3477425 3485727 3645471 3475933 3581952 3822535 3694797 3575916 3578252 3576420 3576530 3668782 3797740 
006874	PK234	1167884	78	3460338 3482288 3558543 3579094 3693921 3493704 3690719 
006874	PK234	1167884	204	3460338 3482288 3558543 3579094 3693921 3493704 3690719 
006874	PK234	1167884	253	3460338 3482288 3558543 3579094 3693921 3493704 3690719 
014570	PK20	0409956	201	3460338 3580251 3608097 3615055 3692098 3712888 3728679 3764208 3768625 3781152 3818762 3819332 3820885 3717137 3722992 3789573 3821231 3693712 3790244 3817427 3774808 3789507 3649880 3817487 3714653 3577187 3785953 3667404 3768620 3788897 3819304 3694101 3694668 3818807 3819645 3821254 3693219 3708949 3789529 3796247 3816486 3818024 3818025 3820768 3821269 3481894 3648970 3694712 3712905 3715174 3817419 3693286 3660063 3668812 3669028 3797625 3797643 3910533 3910741 
014570	PK20	0409956	202	3460338 3580251 3608097 3615055 3692098 3712888 3728679 3764208 3768625 3781152 3818762 3819332 3820885 3717137 3722992 3789573 3821231 3693712 3790244 3817427 3774808 3789507 3649880 3817487 3714653 3577187 3785953 3667404 3768620 3788897 3819304 3694101 3694668 3818807 3819645 3821254 3693219 3708949 3789529 3796247 3816486 3818024 3818025 3820768 3821269 3481894 3648970 3694712 3712905 3715174 3817419 3693286 3660063 3668812 3669028 3797625 3797643 3910533 3910741 
014570	PK20	0409956	203	3460338 3580251 3608097 3615055 3692098 3712888 3728679 3764208 3768625 3781152 3818762 3819332 3820885 3717137 3722992 3789573 3821231 3693712 3790244 3817427 3774808 3789507 3649880 3817487 3714653 3577187 3785953 3667404 3768620 3788897 3819304 3694101 3694668 3818807 3819645 3821254 3693219 3708949 3789529 3796247 3816486 3818024 3818025 3820768 3821269 3481894 3648970 3694712 3712905 3715174 3817419 3693286 3660063 3668812 3669028 3797625 3797643 3910533 3910741 
014571	PK10	3577231	114	3608097 3789573 3819645 3708949 3716357 3668812 3910533 
014571	PK10	3577231	9	3608097 3789573 3819645 3708949 3716357 3668812 3910533 
014571	PK10	3577231	115	3608097 3789573 3819645 3708949 3716357 3668812 3910533 
001749	GOCOM	3460008	116	3462240 3668366 3691140 3816203 3819309 3461937 3475327 3630915 3576534 3576535 3797634 3797729 3797803 3910518 
001749	GOCOM	3460008	117	3462240 3668366 3691140 3816203 3819309 3461937 3475327 3630915 3576534 3576535 3797634 3797729 3797803 3910518 
001474	CARP15	3098022	77	3463560 3540662 3485361 3448314 3446353 3576313 
001474	CARP15	3098022	78	3463560 3540662 3485361 3448314 3446353 3576313 
