Course	Room	Teacher	Time	Students
003572	EHLEC	0897399	17	3196460 3374470 3374569 3375685 3406406 3413146 3415766 3418145 3418264 3418441 3420037 3421153 3422414 3424318 3424363 3425114 3425401 3426654 3426717 3426718 3428844 3429732 3429832 3432238 3432622 3433275 3434210 3435183 3435380 3435397 3437252 3438465 3439402 3475445 3487243 
010844	TAYE	0824088	206	3198263 3418908 3434762 3440175 3455341 3459032 3576466 
010844	TAYE	0824088	207	3198263 3418908 3434762 3440175 3455341 3459032 3576466 
007125	DAL25	0162976	206	3213028 3421753 3423970 3426649 3430298 3432243 3434079 3434124 3435722 3437295 3437827 3438465 3439624 3439917 3453856 3454439 3459613 3463353 3463708 
007125	DAL25	0162976	207	3213028 3421753 3423970 3426649 3430298 3432243 3434079 3434124 3435722 3437295 3437827 3438465 3439624 3439917 3453856 3454439 3459613 3463353 3463708 
007127	DAL300	0162976	208	3213028 3359026 3374479 3404196 3416896 3418499 3421753 3423970 3426244 3426654 3428820 3430298 3430953 3431828 3432243 3434079 3434124 3435628 3435722 3437089 3437591 3437827 3438442 3438550 3438589 3439624 3440024 3463353 
007127	DAL300	0162976	209	3213028 3359026 3374479 3404196 3416896 3418499 3421753 3423970 3426244 3426654 3428820 3430298 3430953 3431828 3432243 3434079 3434124 3435628 3435722 3437089 3437591 3437827 3438442 3438550 3438589 3439624 3440024 3463353 
007887	RCSEM	0470839	208	3217247 3438455 3441406 3452445 3480401 3559657 3576463 3576471 
007887	RCSEM	0470839	209	3217247 3438455 3441406 3452445 3480401 3559657 3576463 3576471 
005271	CARP15	1137952	229	3219927 3340287 3419470 3426654 3432223 3432243 3434130 3435384 3437827 3438033 3438652 3439670 3458957 3576450 
005271	CARP15	1137952	230	3219927 3340287 3419470 3426654 3432223 3432243 3434130 3435384 3437827 3438033 3438652 3439670 3458957 3576450 
005310	DAL300	1137952	228	3219927 3221418 3366307 3415801 3416286 3416424 3421770 3426556 3426658 3429524 3429706 3429810 3432759 3435734 3437365 3438471 3439511 3460766 3462554 3462936 
005310	DAL300	1137952	215	3219927 3221418 3366307 3415801 3416286 3416424 3421770 3426556 3426658 3429524 3429706 3429810 3432759 3435734 3437365 3438471 3439511 3460766 3462554 3462936 
007107	DAL10	0031568	210	3219927 3340324 3374479 3405427 3415769 3418499 3424520 3426244 3430298 3438589 3462872 
007107	DAL10	0031568	227	3219927 3340324 3374479 3405427 3415769 3418499 3424520 3426244 3430298 3438589 3462872 
013205	RCCON	3426520	208	3219927 3414238 3416598 3432040 3464855 3478713 3487732 3576620 
013205	RCCON	3426520	209	3219927 3414238 3416598 3432040 3464855 3478713 3487732 3576620 
002367	TH110	0493725	210	3226303 3433539 3439528 3456820 3465245 3467040 3467983 3475298 3476908 3480166 3480732 3481391 3481875 3482445 3483003 3483950 3485170 3485816 3486141 3486311 3486838 3487035 3502893 3505185 3506324 3537536 3540190 3540705 3559804 3559970 3561772 3576321 3576330 3576343 3576373 3576390 3576429 3576501 3576507 3576558 3576763 3577741 3580095 3580389 3581080 3581250 3581605 3650956 3668827 3669051 
002367	TH110	0493725	227	3226303 3433539 3439528 3456820 3465245 3467040 3467983 3475298 3476908 3480166 3480732 3481391 3481875 3482445 3483003 3483950 3485170 3485816 3486141 3486311 3486838 3487035 3502893 3505185 3506324 3537536 3540190 3540705 3559804 3559970 3561772 3576321 3576330 3576343 3576373 3576390 3576429 3576501 3576507 3576558 3576763 3577741 3580095 3580389 3581080 3581250 3581605 3650956 3668827 3669051 
004009	PK20	3442425	208	3226303 3374194 3412549 3426858 3429566 3440687 3456660 3457777 3465591 3473086 3479534 3480728 3480868 3481102 3482194 3485812 3485970 3503865 3506324 3508682 3521265 3531305 3533093 3549272 3559872 3561402 3575769 3575898 3575908 3576126 3576763 3577167 3577590 3578963 3579028 3579687 3580217 3581227 3581605 3581786 3581827 3581981 3668920 
004009	PK20	3442425	209	3226303 3374194 3412549 3426858 3429566 3440687 3456660 3457777 3465591 3473086 3479534 3480728 3480868 3481102 3482194 3485812 3485970 3503865 3506324 3508682 3521265 3531305 3533093 3549272 3559872 3561402 3575769 3575898 3575908 3576126 3576763 3577167 3577590 3578963 3579028 3579687 3580217 3581227 3581605 3581786 3581827 3581981 3668920 
001894	PK10	3483424	206	3250131 3405604 3426735 3431445 3432384 
001894	PK10	3483424	207	3250131 3405604 3426735 3431445 3432384 
001894	PK10	3483424	210	3250131 3405604 3426735 3431445 3432384 
013192	PK20	3459335	16	3250131 3331180 3375120 3375544 3428042 3430152 3433760 3434130 3435070 3435384 3436119 3436930 3445081 3448679 3456228 3458451 
013192	PK20	3459335	55	3250131 3331180 3375120 3375544 3428042 3430152 3433760 3434130 3435070 3435384 3436119 3436930 3445081 3448679 3456228 3458451 
001839	PK20	0898918	79	3250227 3375389 3375544 3416598 3417108 3421500 3421700 3426735 3428042 3428608 3431294 3436930 3437240 3438113 3438374 3443421 3446832 3448679 3453445 3458972 3460488 3460867 3461826 3462292 3462514 3462639 3463188 3463675 3464379 3483587 
001839	PK20	0898918	56	3250227 3375389 3375544 3416598 3417108 3421500 3421700 3426735 3428042 3428608 3431294 3436930 3437240 3438113 3438374 3443421 3446832 3448679 3453445 3458972 3460488 3460867 3461826 3462292 3462514 3462639 3463188 3463675 3464379 3483587 
001898	PK227	0168763	206	3250227 3331277 3404828 3435384 3435771 3438374 
001898	PK227	0168763	207	3250227 3331277 3404828 3435384 3435771 3438374 
001898	PK227	0168763	210	3250227 3331277 3404828 3435384 3435771 3438374 
006559	TH223	0031478	208	3250227 3433539 3439409 3443283 3443731 3458853 
006559	TH223	0031478	209	3250227 3433539 3439409 3443283 3443731 3458853 
002164	PK354	0180723	206	3250683 3375323 3381050 3430152 3438232 3459522 3462270 3463022 3463675 3463745 3464027 3480710 3481419 3483467 3485288 
002164	PK354	0180723	207	3250683 3375323 3381050 3430152 3438232 3459522 3462270 3463022 3463675 3463745 3464027 3480710 3481419 3483467 3485288 
002164	PK354	0180723	229	3250683 3375323 3381050 3430152 3438232 3459522 3462270 3463022 3463675 3463745 3464027 3480710 3481419 3483467 3485288 
011826	PK264	0180723	208	3250683 3430152 3453352 3459522 3463675 3463745 3464027 
011826	PK264	0180723	209	3250683 3430152 3453352 3459522 3463675 3463745 3464027 
011826	PK264	0180723	210	3250683 3430152 3453352 3459522 3463675 3463745 3464027 
002878	TAYC	3470325	206	3254734 3420884 3438287 
002878	TAYC	3470325	207	3254734 3420884 3438287 
012886	TAYC	1084458	210	3254734 3423839 3436710 3438287 3480937 
012886	TAYC	1084458	227	3254734 3423839 3436710 3438287 3480937 
001836	PK20	3452118	57	3264539 3426020 3430401 3441310 3451168 3455908 3456089 3459523 3460569 3461063 3462817 3464850 3470393 3474140 3474620 3475198 3476797 3478506 3479311 3479976 3480668 3481203 3481532 3481805 3481813 3481943 3482323 3482739 3483234 3483511 3483929 3485169 3485912 3486379 3486782 3487087 3487621 3503630 3514964 3516634 3538202 3559870 3560167 3560199 3561074 3565637 3569865 3574137 3574483 3574543 3574639 3575916 3575928 3576011 3576260 3576411 3576421 3576563 3578781 3578861 3579143 3580261 3580714 3580912 3581038 3581081 3581135 3581220 3581232 3581375 3581999 3582040 3650596 3668851 3668933 
001836	PK20	3452118	56	3264539 3426020 3430401 3441310 3451168 3455908 3456089 3459523 3460569 3461063 3462817 3464850 3470393 3474140 3474620 3475198 3476797 3478506 3479311 3479976 3480668 3481203 3481532 3481805 3481813 3481943 3482323 3482739 3483234 3483511 3483929 3485169 3485912 3486379 3486782 3487087 3487621 3503630 3514964 3516634 3538202 3559870 3560167 3560199 3561074 3565637 3569865 3574137 3574483 3574543 3574639 3575916 3575928 3576011 3576260 3576411 3576421 3576563 3578781 3578861 3579143 3580261 3580714 3580912 3581038 3581081 3581135 3581220 3581232 3581375 3581999 3582040 3650596 3668851 3668933 
001836	PK20	3452118	58	3264539 3426020 3430401 3441310 3451168 3455908 3456089 3459523 3460569 3461063 3462817 3464850 3470393 3474140 3474620 3475198 3476797 3478506 3479311 3479976 3480668 3481203 3481532 3481805 3481813 3481943 3482323 3482739 3483234 3483511 3483929 3485169 3485912 3486379 3486782 3487087 3487621 3503630 3514964 3516634 3538202 3559870 3560167 3560199 3561074 3565637 3569865 3574137 3574483 3574543 3574639 3575916 3575928 3576011 3576260 3576411 3576421 3576563 3578781 3578861 3579143 3580261 3580714 3580912 3581038 3581081 3581135 3581220 3581232 3581375 3581999 3582040 3650596 3668851 3668933 
002151	PK278	1037239	229	3264539 3433686 3451724 3454625 3457988 3459972 3461197 3462565 3463776 3465036 3466014 3467093 3468070 3469520 3471447 3471450 3475573 3475933 3477425 3480714 3481690 3481702 3482144 3483298 3483587 3483638 3484619 3484752 3485228 3485548 3485550 3486571 3486617 3486852 3487034 3487055 3487266 3513947 3514095 3521461 3529298 3543742 3546891 3556970 3557244 3558739 3559149 3559302 3559857 3559963 3560373 3561704 3575483 3576013 3577187 3578811 3579592 3579723 3580248 3580251 3580256 3580269 3581085 3581609 3581920 3581967 3581996 3669006 3669016 
002151	PK278	1037239	230	3264539 3433686 3451724 3454625 3457988 3459972 3461197 3462565 3463776 3465036 3466014 3467093 3468070 3469520 3471447 3471450 3475573 3475933 3477425 3480714 3481690 3481702 3482144 3483298 3483587 3483638 3484619 3484752 3485228 3485548 3485550 3486571 3486617 3486852 3487034 3487055 3487266 3513947 3514095 3521461 3529298 3543742 3546891 3556970 3557244 3558739 3559149 3559302 3559857 3559963 3560373 3561704 3575483 3576013 3577187 3578811 3579592 3579723 3580248 3580251 3580256 3580269 3581085 3581609 3581920 3581967 3581996 3669006 3669016 
002151	PK278	1037239	15	3264539 3433686 3451724 3454625 3457988 3459972 3461197 3462565 3463776 3465036 3466014 3467093 3468070 3469520 3471447 3471450 3475573 3475933 3477425 3480714 3481690 3481702 3482144 3483298 3483587 3483638 3484619 3484752 3485228 3485548 3485550 3486571 3486617 3486852 3487034 3487055 3487266 3513947 3514095 3521461 3529298 3543742 3546891 3556970 3557244 3558739 3559149 3559302 3559857 3559963 3560373 3561704 3575483 3576013 3577187 3578811 3579592 3579723 3580248 3580251 3580256 3580269 3581085 3581609 3581920 3581967 3581996 3669006 3669016 
006846	PK234	0031347	230	3415870 3417108 3420437 3421500 3422964 3427674 3428608 3431651 3438084 3438232 3446832 3455625 3455915 3456677 3456722 3457039 3457873 3458295 3462270 3462297 3462639 3462647 3463526 3463589 3480375 3480732 3481419 3487035 3487041 3579949 
006846	PK234	0031347	38	3415870 3417108 3420437 3421500 3422964 3427674 3428608 3431651 3438084 3438232 3446832 3455625 3455915 3456677 3456722 3457039 3457873 3458295 3462270 3462297 3462639 3462647 3463526 3463589 3480375 3480732 3481419 3487035 3487041 3579949 
006846	PK234	0031347	232	3415870 3417108 3420437 3421500 3422964 3427674 3428608 3431651 3438084 3438232 3446832 3455625 3455915 3456677 3456722 3457039 3457873 3458295 3462270 3462297 3462639 3462647 3463526 3463589 3480375 3480732 3481419 3487035 3487041 3579949 
002472	DAL300	0493725	206	3322585 3374569 3375629 3413356 3415125 3415769 3415870 3420380 3420940 3424594 3429602 3429834 3431226 3431651 3432796 3433501 3433539 3435366 3436683 3438020 3438084 3438100 3439356 
002472	DAL300	0493725	207	3322585 3374569 3375629 3413356 3415125 3415769 3415870 3420380 3420940 3424594 3429602 3429834 3431226 3431651 3432796 3433501 3433539 3435366 3436683 3438020 3438084 3438100 3439356 
004021	GOB	0854975	229	3322585 3416891 3428820 3436158 3436683 3439206 3461937 3462237 3465442 3468749 3477004 3485290 3576328 3576569 
004021	GOB	0854975	230	3322585 3416891 3428820 3436158 3436683 3439206 3461937 3462237 3465442 3468749 3477004 3485290 3576328 3576569 
014121	DAL300	3555101	223	3322585 3339315 3375685 3429524 3429810 3431155 3431294 3432027 3435628 3438442 3441016 3446670 3454182 3458452 3460766 3462872 3462936 3463919 3464100 3467199 3476930 3478309 3478343 3482445 3487505 3576507 
014121	DAL300	3555101	103	3322585 3339315 3375685 3429524 3429810 3431155 3431294 3432027 3435628 3438442 3441016 3446670 3454182 3458452 3460766 3462872 3462936 3463919 3464100 3467199 3476930 3478309 3478343 3482445 3487505 3576507 
002460	ROSTUD	0031568	208	3322886 3456820 
002460	ROSTUD	0031568	209	3322886 3456820 
002992	PK20	3646856	228	3322886 3421044 3429733 3441226 3457932 3458176 3459980 3460701 3463879 3464638 3465327 3470797 3475950 3478951 3479534 3479718 3480069 3480867 3481875 3482198 3483042 3485054 3485288 3485931 3486321 3486609 3487093 3503587 3506324 3537536 3540705 3558528 3559624 3559843 3560770 3560860 3561084 3570123 3575969 3576248 3576763 3576879 3577485 3578842 3578921 3579949 3580389 3580397 3580796 3580798 3581192 3581227 3581300 3581455 3581827 3581918 3581980 3650277 
002992	PK20	3646856	55	3322886 3421044 3429733 3441226 3457932 3458176 3459980 3460701 3463879 3464638 3465327 3470797 3475950 3478951 3479534 3479718 3480069 3480867 3481875 3482198 3483042 3485054 3485288 3485931 3486321 3486609 3487093 3503587 3506324 3537536 3540705 3558528 3559624 3559843 3560770 3560860 3561084 3570123 3575969 3576248 3576763 3576879 3577485 3578842 3578921 3579949 3580389 3580397 3580796 3580798 3581192 3581227 3581300 3581455 3581827 3581918 3581980 3650277 
002992	PK20	3646856	16	3322886 3421044 3429733 3441226 3457932 3458176 3459980 3460701 3463879 3464638 3465327 3470797 3475950 3478951 3479534 3479718 3480069 3480867 3481875 3482198 3483042 3485054 3485288 3485931 3486321 3486609 3487093 3503587 3506324 3537536 3540705 3558528 3559624 3559843 3560770 3560860 3561084 3570123 3575969 3576248 3576763 3576879 3577485 3578842 3578921 3579949 3580389 3580397 3580796 3580798 3581192 3581227 3581300 3581455 3581827 3581918 3581980 3650277 
003001	DAL25	3473854	228	3374479 3437341 3438102 3439475 3461937 3464100 3480836 3481031 3482263 3484216 3485727 3485800 3576329 3576515 3576574 
003001	DAL25	3473854	215	3374479 3437341 3438102 3439475 3461937 3464100 3480836 3481031 3482263 3484216 3485727 3485800 3576329 3576515 3576574 
003001	DAL25	3473854	10	3374479 3437341 3438102 3439475 3461937 3464100 3480836 3481031 3482263 3484216 3485727 3485800 3576329 3576515 3576574 
008500	DAL25	0132890	208	3331179 3337463 3343387 3378849 3415407 3418117 3420837 3421604 3429733 3431155 3431260 3431448 3431939 3438441 3439387 3439475 3439564 3456994 3483155 
008500	DAL25	0132890	209	3331179 3337463 3343387 3378849 3415407 3418117 3420837 3421604 3429733 3431155 3431260 3431448 3431939 3438441 3439387 3439475 3439564 3456994 3483155 
012325	TAYE	3420576	210	3331179 3339315 3339814 3375629 3413022 3415407 3418907 3422414 3423970 3431226 3431828 3432782 3439387 3442991 3456994 3462292 3464263 3480423 3483560 3486858 
012325	TAYE	3420576	227	3331179 3339315 3339814 3375629 3413022 3415407 3418907 3422414 3423970 3431226 3431828 3432782 3439387 3442991 3456994 3462292 3464263 3480423 3483560 3486858 
014204	DAL300	3420576	16	3331179 3381050 3419002 3431155 3433788 3438652 3459647 3460737 3460820 3461057 3462115 3466962 3467199 3474463 3481557 3481967 3483467 3483640 3485537 3486858 3510665 3574866 3576346 3577146 3579028 
014099	PK20	0409956	15	3331180 3375120 3375544 3404828 3405604 3411059 3412825 3414273 3415849 3430383 3431672 3432223 3435070 3436588 3437240 3438113 3439820 3445081 3463602 3463993 3464279 
014099	PK20	0409956	57	3331180 3375120 3375544 3404828 3405604 3411059 3412825 3414273 3415849 3430383 3431672 3432223 3435070 3436588 3437240 3438113 3439820 3445081 3463602 3463993 3464279 
008479	TAYE	0893542	230	3337463 3343387 3381050 3411186 3419002 3421604 3431155 3431260 3431448 3431939 3432782 3433929 3435628 3438441 3439387 3439475 3456290 3457979 3459647 3460737 3461057 3462115 3483155 
008479	TAYE	0893542	55	3337463 3343387 3381050 3411186 3419002 3421604 3431155 3431260 3431448 3431939 3432782 3433929 3435628 3438441 3439387 3439475 3456290 3457979 3459647 3460737 3461057 3462115 3483155 
001844	PK126	3577231	234	3339315 3420380 3423723 3436683 3438878 3458176 3460235 3463879 3463993 3477014 3485290 3486141 3486182 3576336 3576485 3576494 
001844	PK126	3577231	37	3339315 3420380 3423723 3436683 3438878 3458176 3460235 3463879 3463993 3477014 3485290 3486141 3486182 3576336 3576485 3576494 
