Course	Room	Teacher	Time	Students
005738	CARP25	0031543	266	60	3438068 3579099 3480423 3443283 3428042 3442991 3580159 0468326 3484314 3456210 
002456	TAYE	0493725	264	265	3438102 3486141 3458049 3464398 3462851 3486182 3454497 3460369 3405427 3483003 3458452 3482445 3485816 3576364 3576389 
005263	DAL212A	0029475	30	52	3438102 3444811 3452561 3455908 3456053 3457873 3482989 3520100 3577167 3438342 3578921 3433275 3480382 3457935 3465244 3442237 3477004 3463859 
014572	TAYB	0695890	266	60	3438102 3456820 3462606 3462872 3481557 3520100 3577167 3461057 3433275 3463729 3460369 3502893 3446670 3580407 
014573	TH111	0695890	62	63	3438102 3456820 3462606 3466962 3438119 3460134 3460369 3505185 3502893 3446670 3580407 3463851 
004839	CARP15	3452082	264	265	3438113 3453472 3455341 3581870 3459823 3485970 3477824 3484361 3455690 3533093 3578488 3462246 3463851 3576465 
007899	RCCON	0031386	262	263	3438206 3524066 3482018 3525384 3668752 
012733	PK20	0910346	266	60	3438206 3438455 3441406 
002162	PK336	0168378	62	63	3438232 3466364 3480668 3481419 3485290 3574543 3582040 3477824 3483467 3485288 3459522 3456228 3480710 3440419 3487087 3485027 3576428 3576442 
004827	TAYD	0031373	53	28	3438232 3440454 3456016 3474409 3524963 3561001 3580139 3483954 3575908 3581907 3480382 3481944 3575969 3442991 3479085 3574967 3576753 3533093 3580340 3561511 3482198 3581149 3462246 3482592 3575581 3576412 3576448 3580383 3668770 3668821 3668852 
011826	PK354	0168378	262	263	3438232 3466364 3480668 3481419 3485290 3574543 3582040 3477824 3483467 3441900 3456228 3480710 3487087 
014381	DAL10	0053518	68	54	3438232 3580139 3457327 3576231 3568636 3581247 3482101 3572330 3645720 3603544 3797692 
004279	PK200	0802802	62	63	3438254 3451724 3456089 3466014 3469520 3480714 3576013 3580217 3459972 3555254 3463022 3468070 3458087 3480791 3544262 3451557 3576365 3576444 
007900	RCSEM	0470839	61	171	3438455 3450490 3481202 3460371 3445081 3441406 3498772 3690652 
008824	TAYSEM	0031572	62	63	3438455 3440958 3442641 3455297 3458932 3455291 3430196 3455220 3462956 
014566	RCSEM	0431946	262	263	3438455 
003469	TAYD	3092941	61	171	3439147 3449400 3457393 3466014 3453856 3457932 3442335 3485169 3440687 3474374 3444537 3465442 3591436 3514920 3576439 3668826 3668924 3797713 
006863	PK336	0402773	262	263	3439147 3441226 3463011 3481202 3483929 3580955 3458136 3458087 3454059 3576346 3576459 3576546 
006521	TH104	0777265	61	171	3439409 3441004 3443453 3483467 3478964 3485537 3581282 3693473 3694415 3689931 3576320 3668794 3668805 3668806 3797806 
006542	BYC239	0138190	262	263	3439409 3579116 
006587	TH121	3554648	62	63	3439409 3463745 3462116 3425239 3463524 3462990 3445738 3457692 
008479	DAL20	0031619	262	263	3439588 3462414 3476930 3481557 3486858 3467452 3464306 3481967 3576627 
008500	DAL20	0125630	264	265	3439588 3459647 3462414 3460737 3456290 3419002 3457979 3411186 3438652 
014542	DAL212A	0254151	17	4	3439917 3459647 3462517 3462849 3481798 3483084 3486389 3452964 3478343 3484361 3580341 3485537 3451496 3462262 
004383	TAYB	0989327	262	263	3440958 3455562 3456016 3481562 3559624 3443092 3575908 
012311	GOB	3194197	61	171	3440958 3455291 3455220 3484990 
006059	PK328	0031526	266	60	3441004 3455341 3459897 3460488 3441166 3441306 3455046 3455043 
005196	TH224	0493855	15	1	3441413 3450068 3457873 3463143 3481221 3482989 3561772 3463022 3556169 3455046 3455981 3460338 3577054 3463126 3576753 3458957 3579579 3493764 3498772 3498974 3692285 3692756 3694798 3695201 3695345 3463859 3486623 3580584 3462514 3576327 3576329 3576398 3668878 3668941 
006029	PK243	3221489	61	171	3443421 3456653 3462565 3471450 3478356 3480217 3480714 3482288 3485290 3503587 3506324 3521265 3559149 3561074 3564528 3575898 3575916 3578804 3579291 3579723 3579949 3581605 3581952 3650578 3558543 3576248 3577109 3581192 3459613 3581135 3464327 3469615 3569865 3561280 3650596 3555932 3441310 3556970 3581375 3503382 3516634 3580269 3581207 3470846 3493704 3619255 3628726 3639772 3691241 3692796 3694426 3694433 3695373 3486569 3574873 3668782 3668890 3668968 3797740 
003460	EHLEC	3393009	15	1	3443522 3464666 3476418 3483036 3559476 3581870 3454494 3476860 3552259 3482019 3540190 3533264 3470846 3578191 3619323 3667404 3692519 3692766 3693612 3693856 3576409 3576466 3668918 3669030 
003454	EHII	3393009	266	60	3443731 3481520 3519499 3561001 3581171 3443207 3544254 3483278 3524341 3560687 3486571 3440687 3483546 3581080 3486050 3477014 3483996 
007374	TH224	0987494	55	115	3443731 3460569 3486133 3525604 3538202 3575309 3578842 3579099 3580991 3690482 3457459 3467093 3559657 3467452 3549272 3552259 3467384 3574866 3480999 3581250 3558838 3667319 3482592 3485092 3576299 3576302 3576318 3576439 3576461 3668761 3668791 3668818 3668821 3668884 3668887 3668909 3668924 3668943 3668984 
003429	PK20	0058557	62	61	3444811 3462293 3539996 3544254 3559537 3581920 3579579 3578240 3602816 3650874 3576386 
010968	TAYD	3555097	262	263	3444811 3462242 3478102 3441273 3581995 3464272 3481391 3482591 
014563	DAL25	0135660	2	3	3446832 3460235 3459972 3463879 3479054 3459645 3462964 3452529 3461933 3537536 3574866 3462647 3576231 3568636 3487621 3580256 3487266 3576411 
013712	BYC100	3474098	262	263	3447681 3459111 3417819 3446670 
001423	CARP15	3764585	266	60	3448314 3483306 3575309 3577485 3480710 3579687 3491953 3582182 3597365 3650256 3692536 3693084 3576406 3576546 3576555 3668777 
001453	CARP25	3555417	262	263	3448314 3446353 
006042	PK336	0554585	16	18	3425437 3438254 3441226 3448314 3455148 3485228 3485727 3560770 3484887 3581077 3460359 3467781 3485288 3561280 3576879 3454059 3485416 1057610 3445343 3464850 3465103 3482198 3483651 3581127 3580397 3561084 3668748 
006044	PK243	0431634	17	4	3438254 3448314 3455341 3458250 3460867 3461936 3462356 3462512 3462639 3485228 3485727 3441166 3484887 3460359 3463587 3467781 3485288 3463389 3581980 3479718 3482019 3445081 3484990 1057610 3445343 3465103 3483651 3581127 3451553 3463593 
006846	PK241	0402773	15	1	3438102 3448679 3455719 3462817 3475298 3476797 3478356 3481203 3481813 3486379 3487055 3581232 3581609 3448687 3455631 3461063 3486782 3579592 3463776 3474620 3692269 3464327 3463071 3481532 3485169 3513947 3475573 3485912 3505157 3480571 3581038 3462292 3576472 3576570 3668904 3576410 
001774	EHIII	3474420	62	63	3448868 3443092 3481102 3444491 3575769 3486571 3440687 3431257 3576519 
004283	PK200	1165566	262	263	3450490 3486133 3460371 3467040 3576310 3576373 
001758	GOCOM	0254474	262	263	3450546 3458934 3451664 3457184 3450069 3668772 
006553	BYC239	0031478	61	171	3450546 3465181 3463199 3456066 3483996 
003560	EHI	0031359	266	60	3451551 3455519 3458934 3559900 3457932 3454476 3486382 3478964 3454210 3465591 3576358 
003433	EHI	0995587	61	171	3453445 3460488 3476418 3478102 3487041 3540124 3456103 3482019 3485774 3580407 3581596 3426858 3600785 3653119 3667311 3667677 3692285 3694101 3473086 3254734 
004065	TAYB	0854975	62	63	3453467 3416891 3448687 3461937 3465442 3441406 3455120 3576305 3576312 3576516 
004739	PK20	1084458	262	263	3455148 3461020 3483965 3458533 
013059	CARP13	0031582	264	265	3455148 3461020 3458533 
004391	CARP17	0989327	62	63	3455562 3576620 3463199 3578488 3484314 3576498 
014567	PK20	0056992	2	3	3455562 3457873 3480868 3521461 3529298 3580326 3581609 3651077 3581920 3430196 3578910 3480999 3437574 3558528 3560487 3508682 3543742 3559872 3576763 3560193 3561511 3580259 3481664 3493931 3497993 3498974 3558796 3559464 3560256 3576002 3580211 3620520 3621523 3629467 3651017 3651487 3651605 3651816 3652273 3652276 3652373 3655749 3666570 3667676 3671851 3691983 3692316 3692440 3692796 3692915 3693224 3693230 3693253 3693789 3693813 3694012 3694432 3695285 3695373 3695543 3578747 3576475 3576523 3576565 3599497 3668777 3668923 3668943 3668966 3669024 
014569	PK229	0898918	15	1	3558528 3471190 3493931 3559903 3560256 3576002 3651487 3652273 3652276 3652373 3668196 3690204 3693224 3693789 3694428 3695368 3695373 3473086 3578747 3576523 3668923 3668966 
004036	TH102	3460456	16	18	3455908 3458136 3559657 3576248 3485756 3462298 3510971 
013185	DAL20	3420576	15	1	3455908 3466962 3480067 3481557 3486311 3486858 3464306 3481967 3480423 3576627 
014558	DAL20	3646854	266	60	3455908 3462414 3476930 3486858 3419002 3463327 3481967 3437011 3438652 0750570 3576401 
005310	TH104	1020104	262	263	3452561 3456053 3559218 3453218 3463939 3442237 3458957 3441016 3454625 
013620	CARP13	1020104	62	63	3456053 3486609 3465244 3468281 3576231 3581247 3580671 3666570 3666520 3486623 3514920 3576303 
001161	DAL212A	0031388	264	265	3456089 3484763 3487090 3487321 3559843 3581830 3459972 3479054 3446353 3461498 3485756 3463993 3559591 3445081 3479350 3484898 
004280	PK259	3646542	15	1	3456089 3466014 3469520 3480714 3551641 3555254 3468070 3561229 3477576 
010724	PK337	1168490	266	60	3456313 3462512 3560373 3690482 3462116 3468504 3482739 3463439 3689348 3453663 3465103 3451553 3576376 3668830 3668858 
001844	PK126	3577231	2	54	3456645 3459523 3483298 3486858 3451168 3462882 3487093 3485756 3451557 3463126 3546417 3463768 3467040 3576458 3576500 
003017	DAL25	0492580	16	18	3456653 3480067 3486133 3576013 3579028 3478343 3486250 3463389 3581980 3576376 3668754 3668782 3668891 3668941 3692917 
003033	DAL212E	0492580	266	60	3456653 3462242 3464100 
002166	PK354	0428815	266	60	3417108 3456722 3460867 3462270 3466364 3480668 3485290 3574543 3582040 3477824 3487087 3576512 
002472	TH104	3208421	17	4	3456820 3460770 3463525 3487640 3458049 3458339 3463729 3438878 3462851 3462882 3486182 3487035 3452529 3454497 3460369 3405427 3455227 3442432 3458452 3463883 3439280 3482445 
011533	DAL6	3213249	15	1	3456820 3463226 3459111 3503630 3467384 3580389 3485537 3581469 
005845	CARP13	0031582	266	60	3458121 3446645 3559872 3557742 3558796 3606418 3651487 3667385 3692294 3668930 
003031	DAL212E	0375562	262	263	3458250 3437341 
001839	PK229	0898918	17	4	3456677 3458295 3459523 3460235 3462270 3464279 3465036 3476797 3480217 3483298 3485548 3486617 3486852 3487055 3574543 3582040 3405451 3451168 3487041 3692269 3464327 3464193 3481943 3433686 3462647 3463526 3487087 3667319 3576411 3576502 
014383	TAYB	0824088	5	254	3459032 3510665 3559537 3577682 3485288 3581907 3558838 3667821 3580584 3464638 3514920 
011044	DAL20	3213249	62	63	3429761 3459647 3486311 3519078 3462514 
006036	PK337	3221489	15	1	3438254 3459897 3462356 3441306 3484887 3463587 3441900 3555932 3479718 3503382 1057610 3456066 3463593 
007372	BYC127	0603646	16	18	3460569 3461962 3476418 3482989 3486389 3581830 3690482 3430131 3455291 3459111 3454115 3480264 3439636 3374040 3487316 3576305 3576330 3576332 3576340 3576393 3576631 3668873 3668984 
011076	BYC127	0826964	30	52	3447681 3460569 3463602 3464855 3521461 3559225 3578804 3578842 3578861 3579099 3690482 3467093 3539996 3577109 3453262 3485636 3581913 3467384 3463589 3556970 3558838 3667319 3486321 3576299 3576320 3576583 3576632 3668846 
014180	PK20	0599596	171	17	3460569 3481702 3412881 3539996 3551641 3486050 3455294 3576525 
007026	DAL2	3198619	61	171	3461469 3568950 3462116 3581227 3581249 3480999 3580159 3446645 3652569 3695022 3559645 3482445 3576308 3576321 3576339 3576394 3576465 3576534 3576540 3669011 
001195	DAL2	0031471	15	1	3435187 3461936 3475950 3484763 3487090 3575735 3578963 3651077 3451331 3478343 3576230 3462458 3485756 3462647 3451663 3479350 3572330 3651412 3451496 3580586 3580714 3576581 3669050 
007397	BYC127	3474098	264	265	3449400 3461962 3463936 3486133 
004274	PK25	3092832	264	265	3456653 3458441 3462228 3466962 3468749 3479945 3480937 3557244 3581918 3581220 3570123 3462019 3483042 3483954 3480810 3538688 3478297 3577054 3454226 3538400 3487623 3577146 3557478 3574542 3480592 3491953 3575071 3581315 3592325 3597302 3606293 3668386 3668623 3689919 3690789 3692187 3693557 3694039 3467932 3559612 3458061 3576302 3633806 3668767 3668891 3797728 
006508	TH121	0031478	262	263	3462293 3454115 3458452 3579414 3574873 
013650	SW8	0032205	15	1	3462297 3462416 3505185 3463883 3337463 
001473	CARP25	3555417	264	265	3462417 3455625 3468504 3463524 3455419 
010872	TH104	3098022	266	60	3462417 3540662 3455625 3482264 3574967 
014556	CARP17	3098022	15	1	3462417 3454433 3459980 
013658	PK337	3792642	264	265	3429199 3462512 3484894 3457195 3576468 
003275	TAYB	0695890	15	1	3439912 3462516 3486844 3458339 3577682 3559534 3480264 3576377 3668970 3692917 
011045	DAL25	3213249	262	263	3462517 3475941 3503865 3483171 3668871 
006038	PK243	0207327	68	54	3441226 3462565 3462639 3463011 3483929 3503587 3559302 3560770 3579949 3581952 3441306 3577109 3460359 3461826 3469615 3581227 3467781 3581980 3460399 3479718 3559591 3581375 3503382 1057610 3645471 3693789 3580397 3668787 3797709 3797772 
003485	EHII	0024092	55	115	3462817 3483036 3486379 3547282 3575769 3484746 3578177 3444537 3544262 3477014 3446645 3577146 3580340 3581596 3557742 3690020 3694039 3436212 3576412 3668851 
005847	PK20	3647094	266	60	3462817 3539996 3544945 3576011 3639603 3652177 
006026	PK243	0431634	16	18	3463226 3510665 3561516 3524341 3481075 3581827 3443283 3579116 3580259 3575259 3598090 3621523 3635012 3652177 3666175 3667749 3668538 3690020 3691834 3692519 3692756 3694434 3694481 3690778 3485816 3517604 3576386 3576513 3668783 3668805 3668816 3668947 3668951 
002413	TAYG	3452082	266	60	3463525 3486141 3487640 3559970 3576792 3579949 3416891 3484887 3460073 3559804 3463453 3487093 3452529 3479534 3580389 3480264 3479718 3512896 3546417 3487621 3580095 3481518 3485816 3561098 3576364 3576442 3668820 3668824 3668827 3668881 
002182	PK282	1167863	262	263	3463675 3463745 3459522 3453352 3250683 
014555	PK282	1083806	264	265	3462270 3463675 3441900 3453352 3480710 3464027 3576301 
002153	PK282	3785404	266	60	3464279 3460343 3493748 3579094 3648550 3656490 3667503 3690043 3694073 3694903 
004359	TAYB	0138190	17	4	3464666 3475298 3561772 3451331 3574047 3476860 3549052 3416640 3484746 3486632 3439636 3556617 3560193 3581282 
005121	TH251	3400071	2	3	3464855 3561318 3578861 3579099 3668801 3668893 
002686	TAYB	0138190	264	265	3465181 3438294 3480150 3462237 
012770	TH104	3448653	5	254	3466014 3475941 3581605 3451331 3581135 3462882 3486182 3479534 3483546 3477014 3485170 3575259 3650874 3655749 3668826 3669039 3797676 
002151	PK180	1167863	17	4	3474140 3483511 3538202 3558739 3559870 3560167 3576212 3576260 3578861 3580217 3581232 3581962 3544945 3492392 3549272 3481894 3569865 3481532 3458087 3514964 3574137 3470393 3479311 3480571 3483640 3560199 3579143 3581038 3581207 3561511 3303699 3492361 3496439 3496673 3501476 3591211 3591591 3591774 3616918 3631215 3632720 3638301 3651365 3668420 3689375 3689893 3693840 3591844 3655393 3580714 3579181 3580912 
001151	PK25	0031388	62	63	3452561 3475941 3483511 3521272 3557244 3559963 3561772 3575898 3576126 3581171 3581830 3540124 3549052 3446353 3475198 3574639 3581903 3540190 3574483 3578036 3479350 3533264 3560256 3581274 3591211 3599090 3608602 3620017 3631101 3634695 3639603 3649568 3651293 3665045 3689329 3690204 3691962 3692294 3693219 3693473 3694754 3694798 3695539 3546891 3580586 3580256 3599497 
008800	DAL212A	0031572	61	171	3455297 3475941 3437341 3478343 3692609 3478419 3481518 
007008	TAYE	0316015	61	171	3475950 3482989 3485628 3540662 3559476 3576126 3581098 3452988 3462458 3596713 3601391 3629951 3631101 3635012 3651017 3652396 3690020 3691140 3692849 3694318 3694384 3695529 3463768 3580586 3560308 3578443 3576417 3668842 
008420	TAYF	0125630	17	4	3455908 3476930 3480067 3480728 3486311 3520100 3540428 3577167 3559537 3464306 3559534 3576011 3578781 3576231 3578036 3581469 3485774 3574349 3581497 3592208 3620017 3632103 3667821 3689500 3692380 3694012 3694741 3694813 3411186 3577590 3482382 3576627 
002992	PK20	3691394	265	62	3478356 3486844 3578804 3579291 3581999 3461057 3559804 3463729 3574866 3576037 3546417 3462115 3485170 3510971 3577795 3492423 3559172 3577703 3578392 3597365 3630915 3632881 3638594 3645471 3651605 3668538 3689845 3690346 3691416 3691748 3691834 3692761 3693840 3694073 3694236 3694415 3694417 3694426 3694428 3694431 3694741 3695024 3695285 3695434 3695510 3695529 3695554 3690778 3694006 3560308 3576555 3668760 3668808 3668820 3668867 3668868 3668870 3668881 3797651 3797765 3797772 
007125	DAL1	0162976	61	171	3478691 3481607 3581031 3438342 3482263 3458949 3427633 3458469 3462290 3454433 3443283 3471745 3446653 3464100 3478951 3239415 3337463 3465327 3462956 3576515 
004666	TAYC	0775640	264	265	3480217 3576126 3445738 3667676 3668753 3668789 3668862 3797665 3797793 
004013	TAYE	3460456	17	4	3480868 3521265 3579723 3457777 3580261 3561402 3579028 3575908 3479534 3650277 3465591 3426858 3592680 3597365 3598090 3629467 3652569 3692536 3693368 3668920 
002562	PK349	0564741	62	63	3480937 3514835 3540428 3457777 3482739 3581249 3581907 3463560 3478951 3481031 3561026 3651499 3653119 3667273 3690806 3692849 3694384 
006865	PK241	3646602	62	63	3481202 3483929 3580955 3558543 3576879 3441310 3460338 3465332 3467040 
001767	EHII	3474008	62	63	3481520 3561318 3581827 3484746 3487623 3510878 3581207 3337463 3576513 3668943 3668964 3668974 
008773	DAL212A	3194197	62	63	3481557 3524963 3458136 3503630 3514964 3482101 3652276 3692786 3581149 3668800 
001204	DAL2	3447549	5	254	3481562 3518231 3575735 3578963 3405451 3453218 3462290 3484361 1160238 3443283 3461498 3464193 3560858 3574639 3460820 3538400 3467983 3484898 3480069 3546891 3474395 3576341 3668937 
007043	DAL6	3481299	61	171	3481562 3518231 3559970 3482264 3668911 
007031	DAL6	0777265	266	60	3453472 3481607 3486389 3559476 3458049 3768686 
007113	DAL25	0316015	62	63	3454439 3463143 3463708 3464855 3481607 3453856 3454476 3462458 3465327 3469560 3576330 
001562	PEMSTD	0129398	62	63	3481702 3460737 3437341 3577682 3581786 3451496 3797824 3797859 
008763	GOB	0428728	266	60	3481798 3540714 3416640 3442237 3576002 3620017 3635012 3651816 3663306 3689329 3691514 3691834 3691983 3694813 3694828 3426943 3693276 3226303 3542887 3581851 
001768	EHIII	3474420	61	171	3483036 3581870 3463327 3576230 3464193 3465591 3451557 3485170 3692766 3576629 3668801 3668917 
