Course	Room	Teacher	Time	Students
002153	TH110	0428815	260	0252627 3088571 3191285 3214617 3215876 3218908 3219639 3223468 3223593 3232822 3242147 3243105 3243225 3245522 3247055 3250904 3252673 3261847 3262890 3293645 3309285 3311410 3315613 3315934 3323189 3323644 3323699 3324108 3329668 3329756 3330273 3330630 3331578 3331618 3331989 3332580 3332714 3340189 3351610 3356399 3373119 3373472 3374627 3375084 3381343 3382098 3385569 3387721 3388003 3388714 3388734 3388882 3389687 3390131 3396570 3397250 3397575 3403576 3403581 3403680 3403953 3404979 3405286 3405436 3406004 3407233 3407265 3407466 3407911 3408274 3408625 3408820 3409792 
002153	TH110	0428815	261	0252627 3088571 3191285 3214617 3215876 3218908 3219639 3223468 3223593 3232822 3242147 3243105 3243225 3245522 3247055 3250904 3252673 3261847 3262890 3293645 3309285 3311410 3315613 3315934 3323189 3323644 3323699 3324108 3329668 3329756 3330273 3330630 3331578 3331618 3331989 3332580 3332714 3340189 3351610 3356399 3373119 3373472 3374627 3375084 3381343 3382098 3385569 3387721 3388003 3388714 3388734 3388882 3389687 3390131 3396570 3397250 3397575 3403576 3403581 3403680 3403953 3404979 3405286 3405436 3406004 3407233 3407265 3407466 3407911 3408274 3408625 3408820 3409792 
002153	TH110	0428815	159	0252627 3088571 3191285 3214617 3215876 3218908 3219639 3223468 3223593 3232822 3242147 3243105 3243225 3245522 3247055 3250904 3252673 3261847 3262890 3293645 3309285 3311410 3315613 3315934 3323189 3323644 3323699 3324108 3329668 3329756 3330273 3330630 3331578 3331618 3331989 3332580 3332714 3340189 3351610 3356399 3373119 3373472 3374627 3375084 3381343 3382098 3385569 3387721 3388003 3388714 3388734 3388882 3389687 3390131 3396570 3397250 3397575 3403576 3403581 3403680 3403953 3404979 3405286 3405436 3406004 3407233 3407265 3407466 3407911 3408274 3408625 3408820 3409792 
006847	PK243	3427120	3	0252627 1073230 1155110 3063119 3068181 3089555 3092781 3093208 3098317 3106403 3121582 3142378 3189051 3194683 3249841 3261847 3306835 3311445 3316653 3323699 3330372 3330439 3332978 
006847	PK243	3427120	2	0252627 1073230 1155110 3063119 3068181 3089555 3092781 3093208 3098317 3106403 3121582 3142378 3189051 3194683 3249841 3261847 3306835 3311445 3316653 3323699 3330372 3330439 3332978 
006847	PK243	3427120	121	0252627 1073230 1155110 3063119 3068181 3089555 3092781 3093208 3098317 3106403 3121582 3142378 3189051 3194683 3249841 3261847 3306835 3311445 3316653 3323699 3330372 3330439 3332978 
011219	PK10	1168490	260	0692830 3108814 3213412 3389756 3416251 
011219	PK10	1168490	261	0692830 3108814 3213412 3389756 3416251 
011219	PK10	1168490	159	0692830 3108814 3213412 3389756 3416251 
001837	PK25	0409956	113	0828226 3063119 3095908 3121582 3154498 3204517 3204688 3211006 3215635 3216609 3221143 3221922 3222944 3223468 3223593 3232650 3243105 3245522 3248182 3250907 3266721 3281747 3283446 3293645 3303949 3304008 3306835 3308695 3310852 3311410 3312024 3314945 3316281 3316653 3323189 3323328 3323454 3330630 3331989 3333301 3333501 3347834 3352587 3373902 3389464 3389987 3397567 3397573 3398026 3398166 3405873 3405943 3406150 3408041 3410241 
