Course	Room	Teacher	Time	Students
006043	PK336	0554585	1	1057610 3425437 3438254 3482198 3485416 3560770 3576879 3580397 3581077 3581127 3465103 3467781 3485228 3483651 3561280 3445343 3484887 3460359 
006043	PK336	0554585	2	1057610 3425437 3438254 3482198 3485416 3560770 3576879 3580397 3581077 3581127 3465103 3467781 3485228 3483651 3561280 3445343 3484887 3460359 
006043	PK336	0554585	224	1057610 3425437 3438254 3482198 3485416 3560770 3576879 3580397 3581077 3581127 3465103 3467781 3485228 3483651 3561280 3445343 3484887 3460359 
006060	PK349	0031526	25	1057610 3425437 3429761 3438254 3455148 3458250 3460867 3462356 3463593 3483638 3451553 3429199 3461826 3441900 3462639 3463587 3445343 3460701 3460359 
006060	PK349	0031526	221	1057610 3425437 3429761 3438254 3455148 3458250 3460867 3462356 3463593 3483638 3451553 3429199 3461826 3441900 3462639 3463587 3445343 3460701 3460359 
006060	PK349	0031526	107	1057610 3425437 3429761 3438254 3455148 3458250 3460867 3462356 3463593 3483638 3451553 3429199 3461826 3441900 3462639 3463587 3445343 3460701 3460359 
007128	TAYD	0028980	30	3239415 3436588 3441413 3443453 3446653 3453472 3454439 3455297 3456066 3456645 3458469 3461469 3462290 3462872 3463143 3581031 3453856 3463708 3438342 3425679 3479945 3458949 3459613 3485305 3462956 3439917 
007128	TAYD	0028980	224	3239415 3436588 3441413 3443453 3446653 3453472 3454439 3455297 3456066 3456645 3458469 3461469 3462290 3462872 3463143 3581031 3453856 3463708 3438342 3425679 3479945 3458949 3459613 3485305 3462956 3439917 
013997	DAL25	3575049	226	3239415 3437962 3453472 3464638 3467199 3482263 3457979 3463708 3474598 3581249 3465327 3452988 3483954 3427633 3580341 3576368 3576371 
013997	DAL25	3575049	225	3239415 3437962 3453472 3464638 3467199 3482263 3457979 3463708 3474598 3581249 3465327 3452988 3483954 3427633 3580341 3576368 3576371 
