Course	Room	Teacher	Time	Students
003485	EHII	0024092	18	16	1162443 3153576 3215876 3220189 3224239 3305828 3330926 3331989 3350650 3356399 3366991 3388458 3395005 3407079 3408495 3409760 3421946 3422564 3426961 3441685 
008479	TAYD	0031619	17	188	3061917 3068251 3112040 3150738 3153576 3163183 3191876 3204830 3210876 3212008 3213909 3216244 3216633 3265450 3276024 3319378 3322204 3332518 3333459 3382642 3405177 
008485	DAL1	0031553	15	14	3061917 3173096 3177388 3205329 3208714 3212008 3216633 3319378 
012895	BYC106	0428011	241	245	3061917 3100468 3114251 3120610 3126930 3142378 3177388 3178019 3211593 3232225 3249531 3311445 3317266 3323644 3330095 3330273 
002992	PK338	3332662	188	191	3062898 3107592 3190685 3212349 3217724 3221143 3242920 3244921 3252673 3309375 3326451 3331483 3331582 3335406 3349875 3351448 3356399 3366901 3373119 3375084 3381444 3382524 3387721 3389687 3395332 3404051 3405066 3405943 3406345 3406695 3407639 3407911 3408958 3409422 3409760 3415386 3416145 3418000 3419071 3419076 3423128 3423500 3424073 3424462 3424665 3425673 3426182 3426251 3426271 3426367 3426850 3428144 3428156 3429511 3429568 3429717 3430200 3430249 3430506 3430895 3431011 3431809 3431950 3431986 3432123 3432497 3432831 
009263	DAL6	3421211	18	16	3062898 3092411 3099184 3152434 3152623 3214899 3220537 3242147 3373119 3374627 3382096 3403427 3403680 
005724	DAL2	0984701	18	16	3062958 3095612 3114139 3321831 3329656 3332738 3334056 3344462 3349789 3356546 3389259 3390020 3394978 3395143 3396763 3397573 3404522 3406193 3406490 3409519 
002562	PK349	3393847	31	34	3063119 3121582 3145694 3185122 3188882 3192437 3204495 3210876 3212349 3218679 3242666 3370273 3372208 3388735 3396626 3398828 3403530 3404945 3408188 3408280 3408820 3409062 3410567 3410638 3412447 3413575 3416740 3418591 3421946 3422316 3423870 3423871 3428353 3428682 3429674 3432497 3432831 
004355	PK338	0847593	17	188	3063119 3165880 3203991 3242817 3280006 3359167 3367832 3398117 3398464 3408223 3408797 3431933 3432058 
004660	TH102	3455481	15	14	3063119 3219436 3242506 3243225 3247887 3330377 3343092 3357061 3372887 3375084 3407597 
007920	RCSEM	0031386	18	16	3063119 3103203 3121582 
009270	TAYG	3310251	189	190	3068251 3111582 3112040 3152434 3216420 3322236 3323601 3331737 3332738 3336037 3366892 3373846 3409318 3410567 3412459 3423580 3423957 3424250 3426085 3426632 3430011 
012770	TH104	3448653	98	191	3068251 3095396 3122857 3153576 3192055 3205491 3208714 3211081 3233850 3241045 3306992 3323644 3344462 3357413 3368051 3388914 3406546 3407566 3408191 3423682 3428649 3429105 
005286	BYC239	0493856	15	14	3068444 3126639 3217604 3233348 
001444	CARP21	0853792	98	191	3078987 3209873 3213921 3242506 3242817 3251957 3254237 3307321 3332761 3359167 3390539 3405677 3409975 
004048	TAYSEM	0031578	15	14	3078987 3091169 3109227 3136630 3155346 3217439 3398717 
005742	DAL25	0031543	18	16	3078987 3091169 3092577 3114872 3161390 3217372 
007381	BYC127	0031611	192	243	3079120 3114251 3114269 3152571 3209872 3211593 3218679 3241545 3246661 3264020 3275971 3293645 3304324 3306835 3310852 3312024 3321377 3329756 3330203 3331496 3331578 3332252 3333301 3336037 3357413 3373846 3373902 3374246 3381996 3396570 3403676 3419060 3424499 3431091 3431750 
007397	BYC106	0603646	18	16	3079120 3119048 3120610 3150738 3205329 3211384 3217195 3299552 3316906 3331473 3331474 
007380	BYC127	0987494	37	35	3079887 3097009 3204153 3209872 3211006 3218679 3248149 3248177 3249531 3249965 3299552 3310852 3312024 3331496 3332236 3332252 3333780 3364522 3373846 
004274	PK25	3092832	192	243	3081179 3089542 3191340 3211081 3242496 3315613 3330334 3332738 3335999 3336686 3344476 3359529 3388046 3389434 3398618 3404803 3409510 3410863 3419088 3419141 3424806 3426632 3430490 3430522 
004288	PK200	0031577	15	14	3081179 3215889 3218908 3262172 3308669 
004888	CARP17	3092667	18	16	3081179 3095417 3120788 3121782 3169644 3170878 3190134 3191428 3192054 3209936 3212165 3217444 3223740 
008769	PK338	0431786	18	16	3175457 3214299 3221922 3232822 3249965 3256706 3309285 3323602 3326451 3329756 3330203 3330630 3331618 3345082 3359529 3367542 3370273 3382524 3382642 3388630 3388882 3390131 3390539 3396895 3396956 3397575 3398251 3398618 3398828 3403953 3404051 3404803 3405066 3405247 3405419 3405943 3406004 3406020 3406623 3407265 3407466 3408271 3409020 3409792 3410355 3410528 3410539 3410542 3410921 3412859 3413466 3413575 3416251 3417641 3422618 3422805 3423502 3423555 3424499 3425044 3426351 3427735 3428049 3428541 3429352 3429933 3430123 3430455 3430887 3431980 3432538 3432930 
007026	TH224	3198619	18	16	3082058 3090312 3215249 3243225 3284809 3309042 3333635 3335236 3403558 3406196 3410901 
001473	PK338	0853792	17	188	3082370 3094700 3104777 3120788 3123316 3125322 3153713 3155060 3193672 3217604 
002876	TH224	1084458	31	34	3082370 3127044 3152667 3191191 3204517 3211542 3219783 3228778 3242496 3247156 3248182 3304197 3307952 3312285 3329836 3335999 3351190 3367832 3405677 3405996 3408223 3409020 3414568 3417859 3419080 3421988 3426210 3432930 
009386	DAL315	0031388	192	243	3082370 3104777 3111582 3150160 3209873 3213921 3239494 3258543 3329668 3337363 3343996 3344231 3350761 3394978 3409495 
012757	PK338	3098022	189	190	3082370 3094700 3123316 3125322 3155060 3193672 3215601 3219029 3244179 3247887 3251957 3332761 3337363 3350761 
001895	PK10	0056992	17	188	3082852 3098317 3158474 3173283 3183942 3185376 3189051 3315059 
004379	TAYB	0989327	98	191	3082852 3094263 3101907 3216871 3223740 3284809 3409758 3419141 
004011	PK338	0770587	18	16	3084075 3216013 3217778 3242496 3242506 3251946 3257376 3316782 3332955 3333780 3345326 3349875 3357841 3372208 3374246 3390193 3390229 3397064 3398117 3403581 3406660 3408191 3408292 3408708 3409318 3409975 3414175 3416145 3418666 3419139 3419140 3419157 3424250 3424820 3426552 3427802 3429717 3429801 3430249 3430490 3431824 3431986 3432092 3432597 
004827	TH110	0031373	35	19	3084075 3092577 3114776 3121782 3153713 3169644 3170878 3185620 3189715 3194888 3211335 3212165 3217444 3217540 3219719 3221785 3242496 3252851 3254879 3260419 3268686 3280006 3288377 3304723 3304941 3306761 3309285 3311452 3330597 3332654 3336686 3344691 3345326 3356546 3390193 3392028 3393733 3395143 3396786 3397064 3398166 3404683 3409495 3409497 3409519 3431824 3431897 
006026	PK243	0987775	31	34	3084075 3194683 3204644 3204905 3322942 3323328 3329964 3382096 3385569 3389464 3404068 3405444 3405778 3408708 3412802 3423375 3424665 3424869 3429563 3429751 3430013 3430864 3430893 3430894 
007375	BYC127	0031631	20	36	3085846 3100468 3114251 3126930 3209872 3236537 3248149 3249965 3306692 3329756 3330095 3330273 3332955 3333780 3335255 3336573 3340395 3381996 3387721 3389259 3390539 3397670 3397815 3403440 3403676 3403680 3404683 3406020 3406490 3409422 
012227	TAYD	3447549	242	271	3085846 3205450 3219436 3331090 3332409 3335589 3366901 3368107 3406150 3408495 3409318 3409425 3410213 3412447 3418635 3418978 3422720 3429352 3430442 3430887 3431809 3432046 
002855	PK338	0695890	15	14	3086938 3205450 3212349 3323601 3331737 3332236 3332746 3351448 3358729 3362124 3366462 3366616 3366892 3366901 3366991 3367811 3367832 3367966 3368051 3368107 3370273 3371271 3372208 3388799 3396618 3396701 3396956 3397844 3398041 3398828 3403481 3403580 3404803 3404971 3405066 3405444 3405677 3405705 3405778 3406193 3406196 3406345 3406402 3406660 3406695 3407547 3408188 3408223 3408292 3408708 3408796 3408846 3408958 3409020 3409062 3409318 3409588 3410528 3410539 3410567 3410686 3410863 3411329 3411330 3411992 3412447 3412459 3412802 3412856 3413259 3413306 3413362 3413466 3413575 3414026 3414175 3414192 3414568 3414711 3414836 3415386 3416098 3416145 3416392 3416740 3416785 3416942 3417016 3417517 
004009	BYC127	3442425	32	33	3086938 3241545 3244179 3331090 3347031 3396618 3406695 3407547 3409495 3409510 3410480 3411992 3412802 3417517 3418177 3421242 3423400 3423500 3424051 3424073 3426546 3426961 3428114 3428156 3428649 3428682 3428733 3429751 3430011 3430203 3430864 3431778 3431859 3432046 
004014	TAYD	0770587	241	245	3086995 3242553 3260264 3323608 3330372 3343996 3350767 3362124 3367811 3388648 3396601 3398495 3403427 3406817 3409062 3409781 3410638 3412447 3424094 3424869 3429105 
005193	CARP17	3451425	17	188	3086995 3112329 3192054 3219783 3220091 3406193 3430400 
006565	DAL10	0031399	31	34	3086995 3107224 3121199 3214704 3304941 
012730	EHIII	3194193	15	14	3087948 3217724 
001752	GOCOM	0416447	17	188	3088147 3094263 3191834 3358560 3404945 
002472	TH104	1051497	241	245	3088147 3090058 3104870 3105866 3125808 3151195 3165880 3166656 3189715 3191210 3204243 3204619 3205491 3211396 3211643 3330820 
007904	RCSEM	0431946	98	191	3088147 3098380 3193776 3204495 3395005 3405296 
011237	TAYD	3198619	15	14	3088147 3121966 3256961 3275971 3302457 
001844	PK10	0529283	241	245	3089542 3092091 3106403 3118090 3154498 3211081 3216609 3219719 3247055 3252673 3283446 3314945 3316273 3331989 3332580 3333301 3352587 3388883 3405873 3433028 
001845	PK25	0031577	98	191	3089542 3145520 3155060 3204279 3216609 3217785 3250907 3266721 3315613 3317266 3330630 3331473 3332714 3332978 3333501 3358246 3373902 3397567 3405177 3405873 3407597 
002413	TAYD	3452082	189	190	3090058 3105866 3165880 3177063 3219685 3233697 3254237 3315676 3322752 3351382 3358560 3388914 3390414 3403968 3405444 3406546 3408191 3423725 3425218 3425923 
002465	TAYG	3451985	18	16	3090058 3138631 3151195 3165880 3191210 3204243 3204619 3205491 3211396 3233850 3322663 3322942 3406546 
009266	TAYF	1083868	15	14	3090312 3097592 3177063 3177165 3217371 
012724	DAL1	0125630	241	245	3090312 3112040 3152572 3179026 3205450 3322663 3329756 3332410 3334056 3336640 3345082 3367542 3371271 3390020 3394978 3405257 3406720 3410539 3413466 3419139 3422155 3422256 3423725 
001161	DAL315	0031388	189	190	3091747 3113753 3118090 3154498 3194428 3209873 3215889 3264020 3266721 3268127 3306992 3331184 3350767 3357841 3397567 
001763	EHLEC	0027799	18	16	3091747 3112329 3165225 3228778 3354864 3406889 3409424 3409464 3409706 3410213 3428634 
001839	PK25	0898918	20	233	3092091 3098317 3106403 3115992 3142378 3189051 3204830 3215666 3219639 3221922 3222944 3243105 3247055 3262890 3283446 3306835 3307517 3308695 3309190 3314945 3323699 3331578 3381343 
001890	PK128	0529283	18	16	3092091 3194428 3211081 3211473 3215666 
006537	TH121	0031399	18	16	3092196 3160933 3205208 3302457 
002175	PK259	3415849	241	245	3092411 3093208 3098380 3119909 3150160 3204644 3205454 3211360 3213412 3227175 3316614 
011960	TH251	0031543	189	190	3092577 3125450 3161390 3231826 3242817 3243225 3252374 3311452 3331496 3406196 
004389	TAYB	0989327	17	188	3092604 3095396 3150843 3213968 3216554 3223740 3306835 3389434 
006042	PK338	0207327	192	243	3092604 3094556 3094744 3103166 3105866 3109227 3116564 3126433 3126731 3191285 3191834 3192055 3192657 3193288 3203991 3205324 3205337 3211727 3215784 3220304 3227208 3239030 3249841 3251946 3261847 3306968 3307400 3316693 3316819 3322141 3326451 3330439 3330986 3331582 3332411 3351178 3359167 3362013 3408249 3408776 3410501 
012763	PK349	0207327	241	245	3092781 3095908 3097709 3099184 3126731 3152667 3155346 3185122 3192657 3193288 3193776 3205324 3205337 3215879 3216580 3216633 3216906 3217313 3217371 3217667 3249841 3303949 3306482 3316693 3330986 3331582 3351178 3359167 
002166	PK259	0428815	17	188	3093208 3114853 3173096 3214147 3227208 3242649 3249841 3250904 3260264 3288377 3315961 3316653 3330372 3332978 
011826	PK278	0180723	15	14	3093208 3098380 3114853 3183942 3193776 3214147 3227208 3242649 3249841 3250904 3260264 3288377 3306482 3306835 3315961 3316614 3316653 3330372 3330439 3332978 
006500	TAYC	0031399	32	33	3094263 3216580 3219436 3227175 3246830 3323601 3323699 3330630 3332252 3376542 3398717 3403481 3408188 3409781 3411329 3412459 3417536 3418978 3422574 3425204 3426850 3427461 3430013 3430709 3431580 3431902 3432123 3432240 3450544 
006863	PK338	0031347	189	190	3094263 3095765 3099423 3190685 3204495 3214147 3259090 3309375 3316614 3321787 3330431 3403530 
005190	CARP25	1137952	32	33	3094527 3101907 3114776 3223001 3244203 3247887 3322686 3329187 3334296 3347834 3350761 3388364 3407829 3424665 
006044	PK349	0031526	242	244	3094556 3095908 3099184 3110627 3125856 3149019 3152572 3185122 3188399 3191285 3191834 3192055 3205337 3210876 3211727 3215784 3215879 3216580 3216633 3217313 3217667 3219639 3220304 3228759 3248716 3261847 3292462 3303949 3306482 3306968 3316614 3316819 3322141 3330334 3330439 3331582 3410501 
004279	PK200	3447501	17	32	3094744 3204688 3215889 3218908 3252673 3322722 3323644 3330431 3332580 
004280	PK300	0031577	31	34	3094744 3204688 3244179 3247887 3323644 3333138 3350761 
002414	TH104	0697660	17	188	3095391 3217543 3308669 3322663 3322942 3351382 3359529 3403968 3409423 3425923 
004065	TH102	0854975	189	190	3095391 3151640 3209843 3209936 3211643 3216554 3216898 3268686 3330627 3335589 
003435	CARP25	0493855	31	34	3095396 3122181 3155201 3209949 3210027 3257376 3295766 3322236 3336573 3350650 3396601 3430123 
012325	DAL212A	3420576	189	190	3095396 3126772 3194322 3211396 3213840 3216244 3217793 3242936 3276024 3282664 3315776 3344462 3389259 3397154 3406490 3409172 
003500	EHIII	3194193	17	188	3095417 3152667 3217615 3218135 3312114 3425961 
003514	EHIII	0995587	241	245	3095417 3104716 3122181 3155201 3260419 3322236 3322949 
005179	CARP17	3426676	98	191	3095612 3205138 3347031 3350800 3414192 3431786 3431933 
006865	PK243	3427120	18	16	3095765 3191340 3214147 3259090 3307400 3309375 3321787 3330431 3331776 3332654 3403530 3408249 
002635	CAN314	0827051	17	188	3096489 3104870 3121582 3175457 3217313 3248149 3348796 3388003 3398041 3405778 3409419 3411330 3422316 3423957 3426383 3428353 3429563 3430796 
003270	DAL2	0695890	241	245	3097009 3155348 3233697 3306992 3344317 3356346 3374832 3385569 3394688 3397154 3397398 3405568 3408708 3409510 3422949 3429674 3430123 
010961	DAL2	0492451	98	191	3097009 3097709 3100468 3126433 3180821 3216244 3217415 
004735	PK338	1084458	18	16	3097082 3335999 3351190 3432445 
012837	CARP15	3421211	15	14	3097082 3135241 3398117 3408049 
011528	EHIII	3310251	18	16	3097592 3261697 3265154 
001747	GOB	0254474	17	188	3099184 3219367 3330597 3344317 3370273 3396956 3413259 3422154 3426632 
011035	TH102	3452853	18	16	3099423 3155201 3211727 3219367 3241876 3352587 3359167 
001766	EHIII	1165592	192	243	3101150 3119630 3194888 3216840 3254879 3312113 3316782 3322949 3329187 3329964 3344462 
003541	EHI	0599596	18	16	3101150 3211478 3219920 
003416	EHII	3443571	192	243	3101907 3112329 3125450 3152434 3204495 3215876 3218908 3241045 3268127 3304197 3312285 3405177 3406889 3408796 3409519 3417823 3427605 3427819 3428050 3430893 
005222	CARP25	3452160	241	245	3101907 3219783 3315776 3388046 3395143 
007125	TAYE	0162976	189	190	3103910 3105219 3105292 3107224 3155033 3181938 3191198 3193161 3196059 3203791 3204248 3204279 3213217 3214704 3217413 3217785 3256812 3321871 
007127	TAYD	0028980	18	16	3103910 3105219 3107224 3107592 3108487 3118027 3121966 3155033 3181938 3190802 3191198 3193161 3193996 3194322 3196059 3203791 3204248 3204279 3211335 3213217 3214704 3217785 
012819	DAL212A	3195964	17	188	3103910 3191210 3193996 3204279 3213402 3221081 3260308 3321871 3332421 
012737	DAL6	3092667	98	191	3104777 3185620 3194888 3211335 3217444 3247055 3306761 3350650 3396665 3398026 3404308 3416392 
002394	ROSTUD	0020988	31	34	3104870 3219685 3238414 3254053 3254237 3308669 
003034	TAYE	0222805	15	14	3105292 3154498 3181938 
005210	CARP25	0493856	18	16	3105382 3153473 3212349 3315776 3342720 3408037 
005257	EHI	3426676	15	14	3105382 3107224 3171506 3254195 3332249 3335236 
006502	TH121	0031621	98	191	3105382 3218679 3376542 3398717 3432538 
011204	DAL1	0408816	242	244	3106403 3125322 3145520 3151640 3185376 3213217 3219685 3221143 3239494 3265154 3265450 3304008 3316281 3316653 3323692 3329668 3385569 3407639 
003031	DAL6	0375562	15	14	3106446 3150843 
003007	TAYE	0222805	271	233	3108487 3108886 3122857 3151640 3185122 3213217 3215759 3217413 3220537 3220923 3223593 3251946 3322204 3323493 3330627 3390492 3409934 
007049	DAL25	0893542	15	14	3108487 
012442	DAL212E	3426095	15	14	3108691 3216914 3256812 3398251 
002572	PK232	3398516	17	188	3108814 3114701 3219633 3416251 
007900	DAL25	0031539	98	191	3108814 3204153 3336640 3396701 3410480 3417641 
011965	PK232	3393847	18	16	3108814 3219633 
003009	DAL6	0375562	17	188	3108886 3188793 3213412 3219436 3220923 3241045 3304723 3388630 3405863 3406490 3408191 3409080 3409721 
011063	DAL212A	3195964	241	245	3108886 3121782 3126772 3211128 3214704 3243225 3262172 3275971 3306692 3329744 3332409 3346922 3388630 3406623 3409080 
003478	TAYG	0431946	241	245	3109335 3125450 3126639 3150843 3190778 3194474 3216840 3217615 3220189 3224239 3312114 3322686 3322939 3335236 3336686 3347031 3364694 3388628 3406196 3406402 3407079 3409695 3409760 3422254 3426546 3428353 3430011 
006050	PK337	0031526	18	16	3110627 3115257 3116564 3125856 3188399 3214138 3216580 
007894	RCCON	0468281	98	191	3110756 3419140 3428580 
007909	RCCON	0431946	15	14	3110756 3121582 3228861 
009296	CARP25	3310251	17	188	3110756 3213921 3356546 3389464 3390278 3398166 3416740 3428936 
012738	PK336	3426095	18	16	3111037 
001185	DAL315	0031577	18	16	3111582 3135241 3215601 3245522 3311445 3316281 3381996 
008484	DAL212A	3420576	32	33	3113753 3153576 3160933 3163183 3194683 3216906 3265450 3276024 3312113 3316273 3322204 3333459 3335809 3390229 3405177 3405288 
004021	TAYF	0854975	17	188	3114139 3248326 3304197 3331451 3358729 3427605 
012099	CARP13	0030512	17	188	3114269 3191340 3431897 
002568	PK232	0564741	98	191	3114701 3219633 3404068 3416251 
012731	CARP13	0672202	31	34	3114776 3219719 3221785 3252851 3260419 3268686 3280006 3306761 3309285 3315789 3404308 
002162	PK354	0168378	32	33	3114853 3183942 3189051 3193776 3227208 3242649 3249841 3250904 3260264 3288377 3306482 3306835 3315961 3316653 3330372 3330439 3332978 
011964	BYC100	0409956	18	16	3114853 3142378 
002637	CAN314	0827051	98	191	3115257 3225263 3322204 3323328 3381343 
011963	PK227	0409956	17	188	3115992 3211006 3217346 3219639 3293645 3331578 3331618 
012760	PK259	1051387	189	190	3115992 3221143 3258543 3329836 3333260 3374246 3376542 3409721 
005865	TH223	0031582	15	14	3116564 3191191 3351190 
012299	PK227	3393042	31	34	3118027 3216609 3330820 3354864 3362013 3408796 3409420 3451166 
001247	DAL212E	3448653	18	16	3118090 
007406	BYC100	0031522	15	14	3120610 3178019 3204153 3214299 3232225 3232625 3329172 3329671 3331474 
008457	DAL1	3425460	271	233	3120610 3153306 3194322 3256706 3312114 3322663 3357841 3388359 3397154 3403558 3410539 3428344 3430865 
004874	CARP13	0032827	15	14	3120788 3190134 3192054 3209936 3217444 3219719 3295766 3404308 
006525	DAL10	0031573	189	190	3121199 3257376 3346922 3382642 3405296 3410480 
011838	TAYD	0031619	98	191	3121199 3153306 3217434 3233697 3242147 3321377 3322752 3323493 3329885 3333459 3336573 3345933 3389259 3389756 3398251 3405568 3409424 3414026 3429933 3430203 
012727	EHIII	3451481	189	190	3121966 3191823 3194873 3211478 3217408 3242920 3254879 3322740 3345567 3406817 3414026 
001757	GOCOM	0254474	15	14	3122181 3191834 3261697 3292462 3316782 3330597 3409706 
001433	CARP15	0031632	241	245	3123316 3153713 3193672 3213921 3217604 3219029 3242496 3280006 3390008 
002430	ROSTUD	0029475	15	14	3125808 
012884	TAYSEM	0770587	17	188	3125808 3254237 3330627 
001767	EHI	3451419	32	33	3125873 3179026 3188879 3194474 3216871 3242936 3284809 3305199 3329964 3335184 3396786 3403558 3414836 3416392 
005272	CARP15	1137952	189	190	3126602 3153473 3217434 3217439 3315961 3330273 3330334 3331618 
006508	DAL10	0031478	17	188	3126602 3256154 3257376 3304941 3323699 3364522 3388648 3410516 
008773	DAL1	3194197	37	38	3126731 3173283 3205324 3217793 3219685 3221557 3223001 3256154 3319378 3322942 3366462 3366892 3388735 3389488 3394688 3396626 3397670 3403580 3407829 3409172 3414026 3417536 
